,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,month,day,day_of_year,week,Station,Tmax,Tmin,Tavg,Depart,Heat,Cool,PrecipTotal,DayLength_MPrec,DayLength_NearH,NightLength_MPrec,NightLength_NearH,Sunrise_hours,Sunset_hours,blended_Tmax,blended_Tmin,blended_Depart,blended_Heat,blended_Cool,blended_PrecipTotal
1,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
3,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
5,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
7,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
9,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
11,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
13,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.654491,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
15,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
17,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
19,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
21,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
23,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
25,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
27,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
29,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
31,CULEX RESTUANS,11, S PEORIA ST,T091,41.862292,-87.64886,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
33,CULEX RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
35,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
37,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
39,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
41,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
43,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999129,-87.795585,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
45,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.687769,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
47,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,5,29,149,22,2,88,65,77.0,10,0,12,0.0,14.9333333333,15.0,9.06666666667,9.0,4.35,19.2833333333,88.0,62.5,10.0,0.0,10.5,0.0
